Name,Cost,Type,Effect
Savvy Hunter,{1}{B}{G},Creature â€” Human Warrior,"Whenever Savvy Hunter attacks or blocks, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."") Sacrifice two Foods: Draw a card."
Scalding Cauldron,{1},Artifact,"{3}, {T}, Sacrifice Scalding Cauldron: It deals 3 damage to target creature."
Scampering Scorcher,{3}{R},Creature â€” Elemental,"When Scampering Scorcher enters the battlefield, create two 1/1 red Elemental creature tokens. Elementals you control gain haste until end of turn. (They can attack and {T} this turn.)"
Scheming Symmetry,{B},Sorcery,"Choose two target players. Each of them searches their library for a card, then shuffles their library and puts that card on top of it."
Scholar of the Ages,{5}{U}{U},Creature â€” Human Wizard,"When Scholar of the Ages enters the battlefield, return up to two target instant and/or sorcery cards from your graveyard to your hand."
Scorch Spitter,{R},Creature â€” Elemental Lizard,"Whenever Scorch Spitter attacks, it deals 1 damage to the player or planeswalker it's attacking."
Scorching Dragonfire,{1}{R},Instant,"Scorching Dragonfire deals 3 damage to target creature or planeswalker. If that creature or planeswalker would die this turn, exile it instead."
Scorchmark,{1}{R},Instant,"Scorchmark deals 2 damage to target creature. If that creature would die this turn, exile it instead."
Scoured Barrens,nan,Land,"Scoured Barrens enters the battlefield tapped. When Scoured Barrens enters the battlefield, you gain 1 life. {T}: Add {W} or {B}."
Scrabbling Claws,{1},Artifact,"{T}: Target player exiles a card from their graveyard. {1}, Sacrifice Scrabbling Claws: Exile target card from a graveyard. Draw a card."
Screaming Shield,{1},Artifact â€” Equipment,"Equipped creature gets +0/+3 and has ""{2}, {T}: Target player puts the top three cards of their library into their graveyard."" Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)"
Scuttlegator,{4}{G/U}{G/U},Creature â€” Crab Turtle Crocodile,"Defender {6}{G/U}{G/U}: Adapt 3. (If this creature has no +1/+1 counters on it, put three +1/+1 counters on it.) As long as Scuttlegator has a +1/+1 counter on it, it can attack as though it didn't have defender."
Scuttlemutt,{3},Artifact Creature â€” Scarecrow,{T}: Add one mana of any color. {T}: Target creature becomes the color or colors of your choice until end of turn.
Searing Barrage,{4}{R},Instant,"Searing Barrage deals 5 damage to target creature. Adamant â€” If at least three red mana was spent to cast this spell, Searing Barrage deals 3 damage to that creature's controller."
Season of Growth,{1}{G},Enchantment,"Whenever a creature enters the battlefield under your control, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.) Whenever you cast a spell that targets a creature you control, draw a card."
Seasonal Ritual,{G},Sorcery â€” Adventure,Add one mana of any color. (Then exile this card. You may cast the creature later from exile.)
Sedge Scorpion,{G},Creature â€” Scorpion,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Selective Snare,{X}{U},Sorcery,Return X target creatures of the creature type of your choice to their owner's hand.
Selesnya Guildgate,nan,Land â€” Gate,Selesnya Guildgate enters the battlefield tapped. {T}: Add {G} or {W}.
Selesnya Locket,{3},Artifact,"{T}: Add {G} or {W}. {G/W}{G/W}{G/W}{G/W}, {T}, Sacrifice Selesnya Locket: Draw two cards."
Senate Courier,{2}{U},Creature â€” Bird,Flying {1}{W}: Senate Courier gains vigilance until end of turn.
Senate Griffin,{2}{W/U}{W/U},Creature â€” Griffin,"Flying When Senate Griffin enters the battlefield, scry 1."
Senate Guildmage,{W}{U},Creature â€” Human Wizard,"{W}, {T}: You gain 2 life. {U}, {T}: Draw a card, then discard a card."
Sentinel's Mark,{1}{W},Enchantment â€” Aura,"Flash Enchant creature Enchanted creature gets +1/+2 and has vigilance. Addendum â€” When Sentinel's Mark enters the battlefield, if you cast it during your main phase, enchanted creature gains lifelink until end of turn."
"Sephara, Sky's Blade",{4}{W}{W}{W},Legendary Creature â€” Angel,"You may pay {W} and tap four untapped creatures you control with flying rather than pay this spell's mana cost. Flying, lifelink Other creatures you control with flying have indestructible. (Damage and effects that say ""destroy"" don't destroy them.)"
Seraph of the Scales,{2}{W}{B},Creature â€” Angel,"Flying {W}: Seraph of the Scales gains vigilance until end of turn. {B}: Seraph of the Scales gains deathtouch until end of turn. Afterlife 2 (When this creature dies, create two 1/1 white and black Spirit creature tokens with flying.)"
Serra's Guardian,{4}{W}{W},Creature â€” Angel,Flying (This creature can't be blocked except by creatures with flying or reach.) Vigilance (Attacking doesn't cause this creature to tap.) Other creatures you control have vigilance.
Seven Dwarves,{1}{R},Creature â€” Dwarf,Seven Dwarves gets +1/+1 for each other creature named Seven Dwarves you control. A deck can have up to seven cards named Seven Dwarves.
Severed Strands,{1}{B},Sorcery,"As an additional cost to cast this spell, sacrifice a creature. You gain life equal to the sacrificed creature's toughness. Destroy target creature an opponent controls."
Shambling Suit,{3},Artifact Creature â€” Construct,Shambling Suit's power is equal to the number of artifacts and/or enchantments you control.
Shared Summons,{3}{G}{G},Instant,"Search your library for up to two creature cards with different names, reveal them, put them into your hand, then shuffle your library."
Sharktocrab,{2}{G}{U},Creature â€” Fish Octopus Crab,"{2}{G}{U}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.) Whenever one or more +1/+1 counters are put on Sharktocrab, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step."
Shepherd of the Flock,{1}{W},Creature â€” Human Peasant,nan
Shield's Might,{1}{G},Instant â€” Adventure,Target creature gets +2/+2 until end of turn. (Then exile this card. You may cast the creature later from exile.)
Shifting Ceratops,{2}{G}{G},Creature â€” Dinosaur,"This spell can't be countered. Protection from blue (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything blue.) {G}: Shifting Ceratops gains your choice of reach, trample, or haste until end of turn."
Shimmer Dragon,{4}{U}{U},Creature â€” Dragon,"Flying As long as you control four or more artifacts, Shimmer Dragon has hexproof. Tap two untapped artifacts you control: Draw a card."
Shimmer of Possibility,{1}{U},Sorcery,Look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in a random order.
Shinechaser,{1}{W}{U},Creature â€” Faerie,"Flying, vigilance Shinechaser gets +1/+1 as long as you control an artifact. Shinechaser gets +1/+1 as long as you control an enchantment."
Shining Armor,{1}{W},Artifact â€” Equipment,"Flash When Shining Armor enters the battlefield, attach it to target Knight you control. Equipped creature gets +0/+2 and has vigilance. Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)"
Shivan Dragon,{4}{R}{R},Creature â€” Dragon,Flying (This creature can't be blocked except by creatures with flying or reach.) {R}: Shivan Dragon gets +1/+0 until end of turn.
Shock,{R},Instant,Shock deals 2 damage to any target.
Show of Valor,{1}{W},Instant,Target creature gets +2/+4 until end of turn.
Shriekdiver,{2}{B},Creature â€” Zombie Bird Warrior,Flying {1}: Shriekdiver gains haste until end of turn.
Siege Mastodon,{4}{W},Creature â€” Elephant,nan
Siege Wurm,{5}{G}{G},Creature â€” Wurm,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Signpost Scarecrow,{4},Artifact Creature â€” Scarecrow,Vigilance {2}: Add one mana of any color.
Silent Dart,{1},Artifact,"{4}, {T}, Sacrifice Silent Dart: It deals 3 damage to target creature."
Silent Submersible,{U}{U},Artifact â€” Vehicle,"Whenever Silent Submersible deals combat damage to a player or planeswalker, draw a card. Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)"
Silhana Wayfinder,{1}{G},Creature â€” Elf Scout,"When Silhana Wayfinder enters the battlefield, look at the top four cards of your library. You may reveal a creature or land card from among them and put it on top of your library. Put the rest on the bottom of your library in a random order."
Silverback Shaman,{3}{G}{G},Creature â€” Ape Shaman,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.) When Silverback Shaman dies, draw a card."
Silverflame Ritual,{3}{W},Sorcery,"Put a +1/+1 counter on each creature you control. Adamant â€” If at least three white mana was spent to cast this spell, creatures you control gain vigilance until end of turn."
Silverflame Squire,{1}{W},Creature â€” Human Soldier,nan
Silverwing Squadron,{5}{W},Creature â€” Human Knight,"Flying, vigilance Silverwing Squadron's power and toughness are each equal to the number of creatures you control. Whenever Silverwing Squadron attacks, create a number of 2/2 white Knight creature tokens with vigilance equal to the number of opponents you have."
Simic Ascendancy,{G}{U},Enchantment,"{1}{G}{U}: Put a +1/+1 counter on target creature you control. Whenever one or more +1/+1 counters are put on a creature you control, put that many growth counters on Simic Ascendancy. At the beginning of your upkeep, if Simic Ascendancy has twenty or more growth counters on it, you win the game."
Simic Guildgate,nan,Land â€” Gate,Simic Guildgate enters the battlefield tapped. {T}: Add {G} or {U}.
Simic Locket,{3},Artifact,"{T}: Add {G} or {U}. {G/U}{G/U}{G/U}{G/U}, {T}, Sacrifice Simic Locket: Draw two cards."
Single Combat,{3}{W}{W},Sorcery,"Each player chooses a creature or planeswalker they control, then sacrifices the rest. Players can't cast creature or planeswalker spells until the end of your next turn."
Sinister Sabotage,{1}{U}{U},Instant,Counter target spell. Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)
Skarrgan Hellkite,{3}{R}{R},Creature â€” Dragon,Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.) Flying {3}{R}: Skarrgan Hellkite deals 2 damage divided as you choose among one or two targets. Activate this ability only if Skarrgan Hellkite has a +1/+1 counter on it.
Skatewing Spy,{3}{U},Creature â€” Vedalken Rogue Mutant,"{5}{U}: Adapt 2. (If this creature has no +1/+1 counters on it, put two +1/+1 counters on it.) Each creature you control with a +1/+1 counter on it has flying."
Skeleton Archer,{3}{B},Creature â€” Skeleton Archer,"When Skeleton Archer enters the battlefield, it deals 1 damage to any target."
Skewer the Critics,{2}{R},Sorcery,Spectacle {R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.) Skewer the Critics deals 3 damage to any target.
Skitter Eel,{3}{U},Creature â€” Fish Crab,"{2}{U}: Adapt 2. (If this creature has no +1/+1 counters on it, put two +1/+1 counters on it.)"
Skullknocker Ogre,{3}{R},Creature â€” Ogre,"Whenever Skullknocker Ogre deals damage to an opponent, that player discards a card at random. If the player does, they draw a card."
Sky Tether,{W},Enchantment â€” Aura,Enchant creature Enchanted creature has defender and loses flying.
Sky Theater Strix,{1}{U},Creature â€” Bird,"Flying Whenever you cast a noncreature spell, Sky Theater Strix gets +1/+0 until end of turn."
Skyknight Legionnaire,{1}{R}{W},Creature â€” Human Knight,"Flying, haste"
Skyknight Vanguard,{R}{W},Creature â€” Human Knight,"Flying Whenever Skyknight Vanguard attacks, create a 1/1 white Soldier creature token that's tapped and attacking."
Skyline Scout,{1}{W},Creature â€” Human Scout,"Whenever Skyline Scout attacks, you may pay {1}{W}. If you do, it gains flying until end of turn."
Slaying Fire,{2}{R},Instant,"Slaying Fire deals 3 damage to any target. Adamant â€” If at least three red mana was spent to cast this spell, it deals 4 damage instead."
Sleep Paralysis,{3}{U},Enchantment â€” Aura,"Enchant creature When Sleep Paralysis enters the battlefield, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step."
Slimebind,{1}{U},Enchantment â€” Aura,Flash Enchant creature Enchanted creature gets -4/-0.
Smelt-Ward Ignus,{1}{R},Creature â€” Elemental,"{2}{R}, Sacrifice Smelt-Ward Ignus: Gain control of target creature with power 3 or less until end of turn. Untap that creature. It gains haste until end of turn. Activate this ability only any time you could cast a sorcery."
Smelt-Ward Minotaur,{2}{R},Creature â€” Minotaur Warrior,"Whenever you cast an instant or sorcery spell, target creature an opponent controls can't block this turn."
Smitten Swordmaster,{1}{B},Creature â€” Human Knight,Lifelink
Smothering Tithe,{3}{W},Enchantment,"Whenever an opponent draws a card, that player may pay {2}. If the player doesn't, you create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
Snapping Drake,{3}{U},Creature â€” Drake,Flying (This creature can't be blocked except by creatures with flying or reach.)
Snarespinner,{1}{G},Creature â€” Spider,"Reach Whenever Snarespinner blocks a creature with flying, Snarespinner gets +2/+0 until end of turn."
So Tiny,{U},Enchantment â€” Aura,Flash Enchant creature Enchanted creature gets -2/-0. It gets -6/-0 instead as long as its controller has seven or more cards in their graveyard.
Solar Blaze,{2}{R}{W},Sorcery,Each creature deals damage to itself equal to its power.
Sonic Assault,{1}{U}{R},Instant,Tap target creature. Sonic Assault deals 2 damage to that creature's controller. Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)
Sorcerer of the Fang,{1}{B},Creature â€” Human Wizard,"{5}{B}, {T}: Sorcerer of the Fang deals 2 damage to target opponent or planeswalker."
Sorcerer's Broom,{2},Artifact Creature â€” Spirit,"Whenever you sacrifice another permanent, you may pay {3}. If you do, create a token that's a copy of Sorcerer's Broom."
Sorcerous Spyglass,{2},Artifact,"As Sorcerous Spyglass enters the battlefield, look at an opponent's hand, then choose any card name. Activated abilities of sources with the chosen name can't be activated unless they're mana abilities."
Sorin's Guide,{3}{B}{B},Creature â€” Vampire,"When Sorin's Guide enters the battlefield, you may search your library and/or graveyard for a card named Sorin, Vampire Lord, reveal it, and put it into your hand. If you search your library this way, shuffle it."
Sorin's Thirst,{B}{B},Instant,Sorin's Thirst deals 2 damage to target creature and you gain 2 life.
"Sorin, Imperious Bloodlord",{2}{B},Legendary Planeswalker â€” Sorin,"[+1]: Target creature you control gains deathtouch and lifelink until end of turn. If it's a Vampire, put a +1/+1 counter on it. [+1]: You may sacrifice a Vampire. When you do, Sorin, Imperious Bloodlord deals 3 damage to any target and you gain 3 life. [âˆ’3]: You may put a Vampire creature card from your hand onto the battlefield."
"Sorin, Vampire Lord",{4}{B}{B},Legendary Planeswalker â€” Sorin,"[+1]: Up to one target creature gets +2/+0 until end of turn. [âˆ’2]: Sorin, Vampire Lord deals 4 damage to any target. You gain 4 life. [âˆ’8]: Until end of turn, each Vampire you control gains ""{T}: Gain control of target creature."""
"Sorin, Vengeful Bloodlord",{2}{W}{B},Legendary Planeswalker â€” Sorin,"As long as it's your turn, creatures and planeswalkers you control have lifelink. [+2]: Sorin, Vengeful Bloodlord deals 1 damage to target player or planeswalker. âˆ’X: Return target creature card with converted mana cost X from your graveyard to the battlefield. That creature is a Vampire in addition to its other types."
Soul Diviner,{U}{B},Creature â€” Zombie Wizard,"{T}, Remove a counter from an artifact, creature, land, or planeswalker you control: Draw a card."
Soul Salvage,{2}{B},Sorcery,Return up to two target creature cards from your graveyard to your hand.
Soulmender,{W},Creature â€” Human Cleric,{T}: You gain 1 life.
Spark Double,{3}{U},Creature â€” Illusion,"You may have Spark Double enter the battlefield as a copy of a creature or planeswalker you control, except it enters with an additional +1/+1 counter on it if it's a creature, it enters with an additional loyalty counter on it if it's a planeswalker, and it isn't legendary if that permanent is legendary."
Spark Harvest,{B},Sorcery,"As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}. Destroy target creature or planeswalker."
Spark Reaper,{2}{B},Creature â€” Zombie,"{3}, Sacrifice a creature or planeswalker: You gain 1 life and draw a card."
Spawn of Mayhem,{2}{B}{B},Creature â€” Demon,"Spectacle {1}{B}{B} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.) Flying, trample At the beginning of your upkeep, Spawn of Mayhem deals 1 damage to each player. Then if you have 10 or less life, put a +1/+1 counter on Spawn of Mayhem."
Spear Spewer,{R},Creature â€” Goblin Warrior,Defender {T}: Spear Spewer deals 1 damage to each player.
Specter's Shriek,{B},Sorcery,"Target opponent reveals their hand. You may choose a nonland card from it. If you do, that player exiles that card. If a nonblack card is exiled this way, exile a card from your hand."
Spectral Sailor,{U},Creature â€” Spirit Pirate,Flash (You may cast this spell any time you could cast an instant.) Flying {3}{U}: Draw a card.
Spellgorger Weird,{2}{R},Creature â€” Weird,"Whenever you cast a noncreature spell, put a +1/+1 counter on Spellgorger Weird."
Spellkeeper Weird,{2}{U},Creature â€” Weird,"{2}, {T}, Sacrifice Spellkeeper Weird: Return target instant or sorcery card from your graveyard to your hand."
Sphinx of Foresight,{2}{U}{U},Creature â€” Sphinx,"You may reveal this card from your opening hand. If you do, scry 3 at the beginning of your first upkeep. Flying At the beginning of your upkeep, scry 1."
Sphinx of New Prahv,{W}{W}{U}{U},Creature â€” Sphinx,"Flying, vigilance Spells your opponents cast that target Sphinx of New Prahv cost {2} more to cast."
Sphinx of the Guildpact,{7},Artifact Creature â€” Sphinx,Sphinx of the Guildpact is all colors. Flying Hexproof from monocolored (This creature can't be the target of monocolored spells or abilities your opponents control.)
Sphinx's Insight,{2}{W}{U},Instant,"Draw two cards. Addendum â€” If you cast this spell during your main phase, you gain 2 life."
Spikewheel Acrobat,{3}{R},Creature â€” Human Rogue,Spectacle {2}{R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
Spinal Centipede,{2}{B},Creature â€” Insect,"When Spinal Centipede dies, put a +1/+1 counter on target creature you control."
Spinning Wheel,{3},Artifact,"{T}: Add one mana of any color. {5}, {T}: Tap target creature."
Spire Mangler,{2}{B},Creature â€” Insect,"Flash Flying When Spire Mangler enters the battlefield, target creature with flying you control gets +2/+0 until end of turn."
Spirit of the Spires,{3}{W},Creature â€” Spirit,Flying Other creatures you control with flying get +0/+1.
Sporecap Spider,{2}{G},Creature â€” Spider,Reach (This creature can block creatures with flying.)
Sprouting Renewal,{2}{G},Sorcery,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Choose one â€” â€¢ Create a 2/2 green and white Elf Knight creature token with vigilance. â€¢ Destroy target artifact or enchantment.
Squad Captain,{4}{W},Creature â€” Human Soldier,Vigilance (Attacking doesn't cause this creature to tap.) Squad Captain enters the battlefield with a +1/+1 counter on it for each other creature you control.
Starfield Mystic,{1}{W},Creature â€” Human Cleric,"Enchantment spells you cast cost {1} less to cast. Whenever an enchantment you control is put into a graveyard from the battlefield, put a +1/+1 counter on Starfield Mystic."
Statue,{2}{B}{G},Instant,"Destroy target artifact, creature, or enchantment."
Status,{B/G},Instant,Target creature gets +1/+1 and gains deathtouch until end of turn.
Steadfast Sentry,{2}{W},Creature â€” Human Soldier,"Vigilance (Attacking doesn't cause this creature to tap.) When Steadfast Sentry dies, put a +1/+1 counter on target creature you control."
Steady Aim,{1}{G},Instant,Untap target creature. It gets +1/+4 and gains reach until end of turn.
Stealth Mission,{2}{U},Sorcery,Put two +1/+1 counters on target creature you control. That creature can't be blocked this turn.
Steam Vents,nan,Land â€” Island Mountain,"({T}: Add {U} or {R}.) As Steam Vents enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Steel Overseer,{2},Artifact Creature â€” Construct,{T}: Put a +1/+1 counter on each artifact creature you control.
Steelbane Hydra,{X}{G}{G},Creature â€” Turtle Hydra,"Steelbane Hydra enters the battlefield with X +1/+1 counters on it. {2}{G}, Remove a +1/+1 counter from Steelbane Hydra: Destroy target artifact or enchantment."
Steelclaw Lance,{B}{R},Artifact â€” Equipment,Equipped creature gets +2/+2. Equip Knight {1} ({1}: Attach to target Knight creature you control. Equip only as a sorcery.) Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)
Steelgaze Griffin,{4}{U},Creature â€” Griffin,"Flying Whenever you draw your second card each turn, Steelgaze Griffin gets +2/+0 until end of turn."
Steeple Creeper,{2}{G},Creature â€” Frog Snake,{3}{U}: Steeple Creeper gains flying until end of turn.
Stolen by the Fae,{X}{U}{U},Sorcery,Return target creature with converted mana cost X to its owner's hand. You create X 1/1 blue Faerie creature tokens with flying.
Stomp,{1}{R},Instant â€” Adventure,Damage can't be prevented this turn. Stomp deals 2 damage to any target.
Stomping Ground,nan,Land â€” Mountain Forest,"({T}: Add {R} or {G}.) As Stomping Ground enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Stone Golem,{5},Artifact Creature â€” Golem,nan
Stonecoil Serpent,{X},Artifact Creature â€” Snake,"Reach, trample, protection from multicolored Stonecoil Serpent enters the battlefield with X +1/+1 counters on it."
Stony Strength,{G},Instant,Put a +1/+1 counter on target creature you control. Untap that creature.
Storm Strike,{R},Instant,Target creature gets +1/+0 and gains first strike until end of turn. Scry 1.
Storm the Citadel,{4}{G},Sorcery,"Until end of turn, creatures you control get +2/+2 and gain ""Whenever this creature deals combat damage to a player or planeswalker, destroy target artifact or enchantment defending player controls."""
Stormfist Crusader,{B}{R},Creature â€” Human Knight,"Menace At the beginning of your upkeep, each player draws a card and loses 1 life."
"Storrev, Devkarin Lich",{1}{B}{B}{G},Legendary Creature â€” Zombie Elf Wizard,"Trample Whenever Storrev, Devkarin Lich deals combat damage to a player or planeswalker, return to your hand target creature or planeswalker card in your graveyard that wasn't put there this combat."
Street Riot,{4}{R},Enchantment,"As long as it's your turn, creatures you control get +1/+0 and have trample."
Sumala Woodshaper,{2}{G}{W},Creature â€” Elf Druid,"When Sumala Woodshaper enters the battlefield, look at the top four cards of your library. You may reveal a creature or enchantment card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Summary Judgment,{1}{W},Instant,"Summary Judgment deals 3 damage to target tapped creature. Addendum â€” If you cast this spell during your main phase, it deals 5 damage instead."
Sunblade Angel,{5}{W},Creature â€” Angel,"Flying, first strike, vigilance, lifelink"
Sunder Shaman,{R}{R}{G}{G},Creature â€” Giant Shaman,"Sunder Shaman can't be blocked by more than one creature. Whenever Sunder Shaman deals combat damage to a player, destroy target artifact or enchantment that player controls."
Sundering Stroke,{6}{R},Sorcery,"Sundering Stroke deals 7 damage divided as you choose among one, two, or three targets. If at least seven red mana was spent to cast this spell, instead Sundering Stroke deals 7 damage to each of those permanents and/or players."
Sunhome Stalwart,{1}{W},Creature â€” Human Soldier,"First strike Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)"
Sure Strike,{1}{R},Instant,Target creature gets +3/+0 and gains first strike until end of turn.
Swamp,nan,Basic Land â€” Swamp,({T}: Add {B}.)
Swarm Guildmage,{B}{G},Creature â€” Elf Shaman,"{4}{B}, {T}: Creatures you control get +1/+0 and gain menace until end of turn. (They can't be blocked except by two or more creatures.) {1}{G}, {T}: You gain 2 life."
Swathcutter Giant,{4}{R}{W},Creature â€” Giant Soldier,"Vigilance Whenever Swathcutter Giant attacks, it deals 1 damage to each creature defending player controls."
Swift End,{1}{B}{B},Instant â€” Adventure,Destroy target creature or planeswalker. You lose 2 life. (Then exile this card. You may cast the creature later from exile.)
Swiftblade Vindicator,{R}{W},Creature â€” Human Soldier,"Double strike, vigilance, trample"
Swiftwater Cliffs,nan,Land,"Swiftwater Cliffs enters the battlefield tapped. When Swiftwater Cliffs enters the battlefield, you gain 1 life. {T}: Add {U} or {R}."
Swirling Torrent,{5}{U},Sorcery,Choose one or both â€” â€¢ Put target creature on top of its owner's library. â€¢ Return target creature to its owner's hand.
Sworn Companions,{2}{W},Sorcery,Create two 1/1 white Soldier creature tokens with lifelink.
Sylvan Brushstrider,{2}{G},Creature â€” Beast,"When Sylvan Brushstrider enters the battlefield, you gain 2 life."
Syndicate Guildmage,{W}{B},Creature â€” Human Cleric,"{1}{W}, {T}: Tap target creature with power 4 or greater. {4}{B}, {T}: Syndicate Guildmage deals 2 damage to target opponent or planeswalker."
Syndicate Messenger,{3}{W},Creature â€” Bird,"Flying Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)"
"Syr Alin, the Lion's Claw",{3}{W}{W},Legendary Creature â€” Human Knight,"First strike Whenever Syr Alin, the Lion's Claw attacks, other creatures you control get +1/+1 until end of turn."
"Syr Carah, the Bold",{3}{R}{R},Legendary Creature â€” Human Knight,"When Syr Carah, the Bold or an instant or sorcery spell you control deals damage to a player, exile the top card of your library. You may play that card this turn. {T}: Syr Carah deals 1 damage to any target."
"Syr Elenora, the Discerning",{3}{U}{U},Legendary Creature â€” Human Knight,"Syr Elenora, the Discerning's power is equal to the number of cards in your hand. When Syr Elenora enters the battlefield, draw a card. Spells your opponents cast that target Syr Elenora cost {2} more to cast."
"Syr Faren, the Hengehammer",{G}{G},Legendary Creature â€” Human Knight,"Whenever Syr Faren, the Hengehammer attacks, another target attacking creature gets +X/+X until end of turn, where X is Syr Faren's power."
"Syr Gwyn, Hero of Ashvale",{3}{R}{W}{B},Legendary Creature â€” Human Knight,"Vigilance, menace Whenever an equipped creature you control attacks, you draw a card and you lose 1 life. Equipment you control have equip Knight {0}."
"Syr Konrad, the Grim",{3}{B}{B},Legendary Creature â€” Human Knight,"Whenever another creature dies, or a creature card is put into a graveyard from anywhere other than the battlefield, or a creature card leaves your graveyard, Syr Konrad, the Grim deals 1 damage to each opponent. {1}{B}: Each player puts the top card of their library into their graveyard."
"Tajic, Legion's Edge",{1}{R}{W},Legendary Creature â€” Human Soldier,"Haste Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.) Prevent all noncombat damage that would be dealt to other creatures you control. {R}{W}: Tajic, Legion's Edge gains first strike until end of turn."
Take Heart,{W},Instant,Target creature gets +2/+2 until end of turn. You gain 1 life for each attacking creature you control.
Take Vengeance,{1}{W},Sorcery,Destroy target tapped creature.
Tale's End,{1}{U},Instant,"Counter target activated ability, triggered ability, or legendary spell."
Tall as a Beanstalk,{3}{G},Enchantment â€” Aura,"Enchant creature Enchanted creature gets +3/+3, has reach, and is a Giant in addition to its other types."
Tamiyo's Epiphany,{3}{U},Sorcery,"Scry 4, then draw two cards."
"Tamiyo, Collector of Tales",{2}{G}{U},Legendary Planeswalker â€” Tamiyo,"Spells and abilities your opponents control can't cause you to discard cards or sacrifice permanents. [+1]: Choose a nonland card name, then reveal the top four cards of your library. Put all cards with the chosen name from among them into your hand and the rest into your graveyard. [âˆ’3]: Return target card from your graveyard to your hand."
Taste of Death,{4}{B}{B},Sorcery,"Each player sacrifices three creatures. You create three Food tokens. (They're artifacts with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
Tectonic Rift,{3}{R},Sorcery,Destroy target land. Creatures without flying can't block this turn.
Teferi's Time Twist,{1}{U},Instant,"Exile target permanent you control. Return that card to the battlefield under its owner's control at the beginning of the next end step. If it enters the battlefield as a creature, it enters with an additional +1/+1 counter on it."
"Teferi, Time Raveler",{1}{W}{U},Legendary Planeswalker â€” Teferi,"Each opponent can cast spells only any time they could cast a sorcery. [+1]: Until your next turn, you may cast sorcery spells as though they had flash. [âˆ’3]: Return up to one target artifact, creature, or enchantment to its owner's hand. Draw a card."
Temple Garden,nan,Land â€” Forest Plains,"({T}: Add {G} or {W}.) As Temple Garden enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Temple of Epiphany,nan,Land,"Temple of Epiphany enters the battlefield tapped. When Temple of Epiphany enters the battlefield, scry 1. {T}: Add {U} or {R}."
Temple of Malady,nan,Land,"Temple of Malady enters the battlefield tapped. When Temple of Malady enters the battlefield, scry 1. {T}: Add {B} or {G}."
Temple of Mystery,nan,Land,"Temple of Mystery enters the battlefield tapped. When Temple of Mystery enters the battlefield, scry 1. {T}: Add {G} or {U}."
Temple of Silence,nan,Land,"Temple of Silence enters the battlefield tapped. When Temple of Silence enters the battlefield, scry 1. {T}: Add {W} or {B}."
Temple of Triumph,nan,Land,"Temple of Triumph enters the battlefield tapped. When Temple of Triumph enters the battlefield, scry 1. {T}: Add {R} or {W}."
Tempting Witch,{2}{B},Creature â€” Human Warlock,"When Tempting Witch enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."") {2}, {T}, Sacrifice a Food: Target player loses 3 life."
Tenth District Guard,{1}{W},Creature â€” Human Soldier,"When Tenth District Guard enters the battlefield, target creature gets +0/+1 until end of turn."
Tenth District Legionnaire,{R}{W},Creature â€” Human Soldier,"Haste Whenever you cast a spell that targets Tenth District Legionnaire, put a +1/+1 counter on Tenth District Legionnaire, then scry 1."
